date,district,dbn,school_name,k4_enrolled,present,absent,released,attendance_rate,temp_high_f,temp_low_f,temp_avg_f,precip_in,snow_in,wind_speed_mph,wind_chill_f,day_of_week,month,is_return_from_break
2025-10-01,4,04M012,PS/MS 12 TAG Young Scholars,285,258,27,0,0.9041,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M050,PS 50 Vito Marcantonio,195,176,19,0,0.9049,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M072,PS 72 The Lexington Academy,210,192,18,0,0.9161,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M083,PS 83 Luis Munoz Rivera,165,149,16,0,0.9041,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M096,PS 96 Joseph Lanzetta,178,164,14,0,0.9226,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M101,PS 101 Andrew Pataki,192,177,15,0,0.9214,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M102,Central Park East I,145,124,21,0,0.8572,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,176,12,0,0.9358,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M112,PS 112 Jose Celso Barbosa,203,183,20,0,0.9025,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M155,PS 155 William Paca,168,151,17,0,0.9016,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M171,PS 171 Patrick Henry,225,208,17,0,0.9245,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M206,The Bilingual Bicultural School,158,143,15,0,0.9059,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M377,Renaissance School of the Arts,142,126,16,0,0.8871,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M964,Central Park East II,135,115,20,0,0.8533,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M482,Harbor Heights,118,106,12,0,0.8946,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M555,MOSAIC Prep Academy,152,135,17,0,0.885,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M310,The East Harlem Scholars Academy,198,182,16,0,0.9194,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-01,4,04M375,PS 375 Jackie Robinson,139,128,11,0,0.9216,66.0,49.3,57.6,0.0,0.0,4.4,57.6,Wednesday,October,False
2025-10-02,4,04M012,PS/MS 12 TAG Young Scholars,285,260,25,0,0.913,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M050,PS 50 Vito Marcantonio,195,174,21,0,0.8918,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M072,PS 72 The Lexington Academy,210,187,23,0,0.8904,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M083,PS 83 Luis Munoz Rivera,165,147,18,0,0.8932,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M096,PS 96 Joseph Lanzetta,178,156,22,0,0.8755,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M101,PS 101 Andrew Pataki,192,167,25,0,0.8685,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M102,Central Park East I,145,121,24,0,0.8335,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,173,15,0,0.9227,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M112,PS 112 Jose Celso Barbosa,203,181,22,0,0.8929,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M155,PS 155 William Paca,168,147,21,0,0.8777,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M171,PS 171 Patrick Henry,225,204,21,0,0.905,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M206,The Bilingual Bicultural School,158,143,15,0,0.907,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M377,Renaissance School of the Arts,142,128,14,0,0.9028,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M964,Central Park East II,135,120,15,0,0.8926,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M482,Harbor Heights,118,103,15,0,0.8754,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M555,MOSAIC Prep Academy,152,131,21,0,0.8621,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M310,The East Harlem Scholars Academy,198,179,19,0,0.9042,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-02,4,04M375,PS 375 Jackie Robinson,139,127,12,0,0.9108,63.6,56.6,60.1,0.21,0.0,6.8,60.1,Thursday,October,False
2025-10-03,4,04M012,PS/MS 12 TAG Young Scholars,285,251,34,0,0.8804,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M050,PS 50 Vito Marcantonio,195,172,23,0,0.883,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M072,PS 72 The Lexington Academy,210,187,23,0,0.8885,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M083,PS 83 Luis Munoz Rivera,165,146,19,0,0.8822,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M096,PS 96 Joseph Lanzetta,178,156,22,0,0.8782,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M101,PS 101 Andrew Pataki,192,170,22,0,0.8853,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M102,Central Park East I,145,123,22,0,0.845,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,168,20,0,0.8934,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M112,PS 112 Jose Celso Barbosa,203,181,22,0,0.8924,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M155,PS 155 William Paca,168,148,20,0,0.8831,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M171,PS 171 Patrick Henry,225,203,22,0,0.9014,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M206,The Bilingual Bicultural School,158,137,21,0,0.865,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M377,Renaissance School of the Arts,142,122,20,0,0.8571,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M964,Central Park East II,135,117,18,0,0.8667,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M482,Harbor Heights,118,104,14,0,0.8827,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M555,MOSAIC Prep Academy,152,131,21,0,0.8595,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M310,The East Harlem Scholars Academy,198,180,18,0,0.9069,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-03,4,04M375,PS 375 Jackie Robinson,139,127,12,0,0.9154,63.5,49.4,56.5,0.0,0.0,12.5,56.5,Friday,October,False
2025-10-06,4,04M012,PS/MS 12 TAG Young Scholars,285,244,41,0,0.8561,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M050,PS 50 Vito Marcantonio,195,168,27,0,0.8617,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M072,PS 72 The Lexington Academy,210,184,26,0,0.874,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M083,PS 83 Luis Munoz Rivera,165,143,22,0,0.8653,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M096,PS 96 Joseph Lanzetta,178,154,24,0,0.8657,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M101,PS 101 Andrew Pataki,192,164,28,0,0.8553,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M102,Central Park East I,145,122,23,0,0.8395,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,166,22,0,0.8805,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M112,PS 112 Jose Celso Barbosa,203,181,22,0,0.894,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M155,PS 155 William Paca,168,147,21,0,0.8757,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M171,PS 171 Patrick Henry,225,198,27,0,0.8792,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M206,The Bilingual Bicultural School,158,136,22,0,0.8627,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M377,Renaissance School of the Arts,142,121,21,0,0.8543,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M964,Central Park East II,135,114,21,0,0.8433,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M482,Harbor Heights,118,102,16,0,0.8626,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M555,MOSAIC Prep Academy,152,132,20,0,0.8676,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M310,The East Harlem Scholars Academy,198,171,27,0,0.8616,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-06,4,04M375,PS 375 Jackie Robinson,139,119,20,0,0.8574,57.3,50.7,54.0,0.82,0.0,14.9,54.0,Monday,October,False
2025-10-07,4,04M012,PS/MS 12 TAG Young Scholars,285,253,32,0,0.8886,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M050,PS 50 Vito Marcantonio,195,171,24,0,0.8786,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M072,PS 72 The Lexington Academy,210,183,27,0,0.8736,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M083,PS 83 Luis Munoz Rivera,165,143,22,0,0.8671,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M096,PS 96 Joseph Lanzetta,178,160,18,0,0.8974,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M101,PS 101 Andrew Pataki,192,168,24,0,0.8751,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M102,Central Park East I,145,122,23,0,0.8401,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,167,21,0,0.8873,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M112,PS 112 Jose Celso Barbosa,203,178,25,0,0.8775,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M155,PS 155 William Paca,168,151,17,0,0.9011,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M171,PS 171 Patrick Henry,225,207,18,0,0.9186,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M206,The Bilingual Bicultural School,158,139,19,0,0.882,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M377,Renaissance School of the Arts,142,124,18,0,0.8722,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M964,Central Park East II,135,115,20,0,0.855,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M482,Harbor Heights,118,106,12,0,0.9015,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M555,MOSAIC Prep Academy,152,132,20,0,0.8681,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M310,The East Harlem Scholars Academy,198,171,27,0,0.866,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-07,4,04M375,PS 375 Jackie Robinson,139,125,14,0,0.896,65.2,47.6,56.4,0.83,0.0,6.7,56.4,Tuesday,October,False
2025-10-08,4,04M012,PS/MS 12 TAG Young Scholars,285,266,19,0,0.9348,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M050,PS 50 Vito Marcantonio,195,175,20,0,0.8978,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M072,PS 72 The Lexington Academy,210,193,17,0,0.919,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M083,PS 83 Luis Munoz Rivera,165,146,19,0,0.8875,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M096,PS 96 Joseph Lanzetta,178,161,17,0,0.9064,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M101,PS 101 Andrew Pataki,192,173,19,0,0.8986,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M102,Central Park East I,145,127,18,0,0.8736,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,172,16,0,0.9159,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M112,PS 112 Jose Celso Barbosa,203,185,18,0,0.91,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M155,PS 155 William Paca,168,151,17,0,0.9,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M171,PS 171 Patrick Henry,225,208,17,0,0.9246,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M206,The Bilingual Bicultural School,158,144,14,0,0.9144,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M377,Renaissance School of the Arts,142,126,16,0,0.8902,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M964,Central Park East II,135,119,16,0,0.8796,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M482,Harbor Heights,118,104,14,0,0.8809,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M555,MOSAIC Prep Academy,152,135,17,0,0.8881,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M310,The East Harlem Scholars Academy,198,179,19,0,0.903,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-08,4,04M375,PS 375 Jackie Robinson,139,125,14,0,0.898,61.0,48.2,54.6,0.0,0.0,9.4,54.6,Wednesday,October,False
2025-10-09,4,04M012,PS/MS 12 TAG Young Scholars,285,260,25,0,0.9131,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M050,PS 50 Vito Marcantonio,195,174,21,0,0.8941,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M072,PS 72 The Lexington Academy,210,189,21,0,0.9019,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M083,PS 83 Luis Munoz Rivera,165,148,17,0,0.8987,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M096,PS 96 Joseph Lanzetta,178,162,16,0,0.9093,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M101,PS 101 Andrew Pataki,192,174,18,0,0.9052,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M102,Central Park East I,145,127,18,0,0.8729,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,176,12,0,0.9361,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M112,PS 112 Jose Celso Barbosa,203,184,19,0,0.9085,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M155,PS 155 William Paca,168,151,17,0,0.8971,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M171,PS 171 Patrick Henry,225,206,19,0,0.915,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M206,The Bilingual Bicultural School,158,146,12,0,0.9228,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M377,Renaissance School of the Arts,142,128,14,0,0.8997,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M964,Central Park East II,135,119,16,0,0.8849,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M482,Harbor Heights,118,106,12,0,0.8952,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M555,MOSAIC Prep Academy,152,138,14,0,0.905,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M310,The East Harlem Scholars Academy,198,185,13,0,0.9352,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-09,4,04M375,PS 375 Jackie Robinson,139,124,15,0,0.8954,66.7,46.1,56.4,0.0,0.0,11.7,56.4,Thursday,October,False
2025-10-10,4,04M012,PS/MS 12 TAG Young Scholars,285,250,35,0,0.8781,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M050,PS 50 Vito Marcantonio,195,173,22,0,0.8875,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M072,PS 72 The Lexington Academy,210,183,27,0,0.8695,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M083,PS 83 Luis Munoz Rivera,165,143,22,0,0.8681,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M096,PS 96 Joseph Lanzetta,178,159,19,0,0.895,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M101,PS 101 Andrew Pataki,192,169,23,0,0.8811,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M102,Central Park East I,145,123,22,0,0.8454,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M108,PS 108 Assemblyman Angelo Del Toro,188,169,19,0,0.8988,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M112,PS 112 Jose Celso Barbosa,203,185,18,0,0.9105,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M155,PS 155 William Paca,168,153,15,0,0.9092,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M171,PS 171 Patrick Henry,225,207,18,0,0.9213,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M206,The Bilingual Bicultural School,158,142,16,0,0.8987,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M377,Renaissance School of the Arts,142,123,19,0,0.8648,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M964,Central Park East II,135,117,18,0,0.8634,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M482,Harbor Heights,118,103,15,0,0.873,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M555,MOSAIC Prep Academy,152,132,20,0,0.87,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M310,The East Harlem Scholars Academy,198,178,20,0,0.8965,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-10,4,04M375,PS 375 Jackie Robinson,139,123,16,0,0.8826,65.2,58.2,61.7,0.0,0.0,13.7,61.7,Friday,October,False
2025-10-14,4,04M012,PS/MS 12 TAG Young Scholars,285,246,39,0,0.8629,73.6,41.8,57.7,0.0,0.0,10.3,57.7,Tuesday,October,True
2025-10-14,4,04M050,PS 50 Vito Marcantonio,195,169,26,0,0.8642,73.6,41.8,57.7,0.0,0.0,10.3,57.7,Tuesday,October,True
2025-10-14,4,04M072,PS 72 The Lexington Academy,210,180,30,0,0.8593,73.6,41.8,57.7,0.0,0.0,10.3,57.7,Tuesday,October,True
